policy,mean,std,count,sigma,impurity,num_dim
average,0.7205199999999986,0.0030731700203493434,1000,1.5,-0.68,5
ensemble,0.8186000000000001,0.0014051385748083452,1000,1.5,-0.68,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,2.0,-0.68,5
default,0.7786799999999988,0.002456887033197464,1000,2.0,-0.68,5
augment,0.8366800000000044,0.0005063931615198182,1000,2.0,-0.68,5
average,0.7095199999999996,0.003241215061527868,1000,2.0,-0.68,5
ensemble,0.8190400000000004,0.0013975090094276504,1000,2.0,-0.68,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.0,-0.6,5
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.6,5
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.6,5
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.6,5
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.6,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.2,-0.6,5
default,0.8226799999999952,0.001461421689093652,1000,0.2,-0.6,5
augment,0.835839999999997,0.0016033918002987496,1000,0.2,-0.6,5
average,0.8382799999999974,0.0016984482112582537,1000,0.2,-0.6,5
ensemble,0.831079999999996,0.0013555335005344135,1000,0.2,-0.6,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.5,-0.6,5
default,0.7687199999999956,0.001973792658172948,1000,0.5,-0.6,5
augment,0.7932399999999936,0.0012670863853375975,1000,0.5,-0.6,5
average,0.7472399999999974,0.002478411774690585,1000,0.5,-0.6,5
ensemble,0.7876799999999945,0.0015012232583034618,1000,0.5,-0.6,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,1.0,-0.6,5
default,0.7421199999999968,0.0022315208458101488,1000,1.0,-0.6,5
augment,0.7928799999999921,0.0009838056075635502,1000,1.0,-0.6,5
average,0.6961599999999982,0.0028323270426411635,1000,1.0,-0.6,5
ensemble,0.7753599999999949,0.0015523144269380688,1000,1.0,-0.6,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,1.5,-0.6,5
default,0.7394399999999987,0.0024662864734188794,1000,1.5,-0.6,5
augment,0.7923199999999916,0.0009012379429594778,1000,1.5,-0.6,5
average,0.6783599999999991,0.0031095626348057086,1000,1.5,-0.6,5
ensemble,0.7761199999999943,0.001504130316165468,1000,1.5,-0.6,5
plurality,0.7999999999999887,3.5828420070310695e-16,1000,2.0,-0.6,5
default,0.7310799999999978,0.0025184869220181315,1000,2.0,-0.6,5
augment,0.79443999999999,0.0007200033366622737,1000,2.0,-0.6,5
average,0.6719999999999984,0.003056753791809833,1000,2.0,-0.6,5
ensemble,0.7761999999999941,0.001494722112699951,1000,2.0,-0.6,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.0,-0.52,5
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,5
augment,1.0,0.0,1000,0.0,-0.52,5
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,5
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.2,-0.52,5
default,0.7960399999999966,0.0019222938416417062,1000,0.2,-0.52,5
augment,0.807799999999997,0.001948680927539805,1000,0.2,-0.52,5
average,0.8098399999999966,0.002070038516419319,1000,0.2,-0.52,5
ensemble,0.8033999999999973,0.0018171797220259,1000,0.2,-0.52,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.5,-0.52,5
default,0.7184799999999988,0.0022732481732660142,1000,0.5,-0.52,5
augment,0.7517199999999966,0.0013453816007555797,1000,0.5,-0.52,5
