time,P1,P2,P3,P4,P5,P6,P7,P8
890.0,5.163261980725343,2.294398283467054,0.2514872591690761,2.0714457694164787,0.19690514728932793,0.27892050834310356,2.6233976119391604,4.071770818074612
900.0,4.965185305240421,2.2522388571214393,0.22166392099023013,2.0283881422645478,0.17785468518872213,0.2614331380051104,2.7972925209131705,3.9869086209568385
910.0,4.770623439328444,2.206494086989984,0.19637375901660253,2.0077849060806474,0.16191760627053473,0.2493894470689053,2.966043605304813,3.9186832512906404
920.0,4.594508975614943,2.162155353843361,0.17493076948272435,2.0059396295627843,0.14859457553051408,0.24242354177004358,3.1258538892772116,3.8643013021037604
930.0,4.44645745524418,2.1227567012395485,0.15675187209344632,2.018353424784339,0.13746433137889874,0.24005063971486978,3.274268893705957,3.8206434575103625
940.0,4.33142504353945,2.0905264474783527,0.14134199280544735,2.0403505644935924,0.1281725981586147,0.2415532129432346,3.41017575837959,3.7846121446147443
950.0,4.250489227261993,2.06655852882873,0.12828098048549288,2.06756224470035,0.12042186849963823,0.24594612893224538,3.533637897563519,3.753383146439558
960.0,4.201667425738363,2.0509961100907472,0.11721231419354271,2.0962498607656803,0.11396225064684823,0.2520582332404207,3.645634382462034,3.7245646690551673
970.0,4.180761249479204,2.043229798644106,0.10783337834944363,2.1234770428393217,0.10858343072365406,0.2587076508596275,3.747765976004501,3.6962772071177565
980.0,4.182201528653003,2.0421087940345357,0.0998871248205951,2.1471610245586477,0.10410786581859324,0.2648953206567548,3.8419737634183364,3.6671702955462795
990.0,4.19983773823535,2.04615446596639,0.09315514115359157,2.1660379554710385,0.10038539237599373,0.26993696631413633,3.930295102070842,3.6363925333732645
1000.0,4.22761208949246,2.0537616473542393,0.08745174746351442,2.179572929722764,0.09728902552887099,0.27349743331020565,4.014674110918375,3.6035282901983074
1010.0,4.260075060848661,2.0633721922415686,0.08261930013715142,2.187834368585932,0.09471187433873728,0.27554171067886396,4.09682421252512,3.568515047795678
1020.0,4.2927275155585445,2.073609129329949,0.0785240920186809,2.1913495602827995,0.09256453841263189,0.2762439470176856,4.178144736542901,3.531551782115814
1030.0,4.322198387653542,2.0833656196984696,0.0750528912617872,2.1909523029247997,0.09077281369252901,0.2758924047461485,4.25968613053746,3.4930068995667654
